species,owner,countryof_origin,farm_name,lot_number,mill,ico_number,company,altitude,region,producer,numberof_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner1,variety,processing_method,moisture,category_one_defects,quakers,color,category_two_defects,expiration,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,total_cup_points
Arabica,cqi q coffee sample representative,United States,el águila,,,unknown,coffee quality institute,meters above sea level: 2.080,antioquia,María Leticia Diosa,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,0.0,0,0.0,,0,"March 12th, 2016",m,2080.0,2080.0,2080.0,63.7921431032108,72.54104834195455,77.32617505460288,67.73882119761299,70.42569154739009,64.68213542417124,100.0,100.0,100.0,66.54771645900715,70.97417940077982
Arabica,essencecoffee,Ethiopia,drima zede,,drima zede,100181006,essence coffee,1700-2000m,gedio,LevelUp,250,60 kg,Blossom Valley International,2014,"March 25th, 2015",EssenceCoffee,Ethiopian Yirgacheffe,Natural / Dry,0.0,0,0.0,,8,"March 24th, 2016",m,1700.0,2000.0,1850.0,67.31179990686952,67.8892596538815,67.0450261809832,67.73882119761299,68.45350997602131,70.17460675379785,100.0,100.0,100.0,68.20398738011882,70.42569154739009
Arabica,cqi q coffee sample representative,United States,el rodeo,,,unknown,coffee quality institute,meters above sea level: 2.019,antioquia,Nicolás Rueda Urrego,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,0.0,0,0.0,None,0,"March 12th, 2016",m,2019.0,2019.0,2019.0,63.7921431032108,69.18753225737977,68.99346224504907,74.73730614718684,71.77280037198474,64.68213542417124,100.0,100.0,100.0,66.54771645900715,70.42569154739009
Arabica,the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,5-562-0015,the coffee source inc.,1300 msnm,san ramon,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"April 2nd, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,0.11,0,0.0,Green,2,"April 2nd, 2015",m,1300.0,1300.0,1300.0,65.82315006881252,69.18753225737977,67.0450261809832,67.73882119761299,65.92884500739828,70.17460675379785,100.0,100.0,100.0,68.20398738011882,69.93656582503976
Arabica,roberto licona franco,Mexico,la herradura,,la herradura,0,,1320,xalapa,ROBERTO LICONA FRANCO,14,1 kg,AMECAFE,2012,"July 26th, 2012",ROBERTO LICONA FRANCO,Other,Washed / Wet,0.13,0,0.0,Green,0,"July 26th, 2013",m,1320.0,1320.0,1320.0,67.31179990686952,69.18753225737977,70.17460675379785,64.06237560910118,61.45847938985257,67.9661507366597,100.0,100.0,100.0,72.13928049754914,69.93656582503976
Arabica,cqi q coffee sample representative,United States,la curva,,,unknown,coffee quality institute,meters above sea level: 2.112,antioquia,Silvia Elena Higuita,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,0.0,0,0.0,,0,"March 12th, 2016",m,2112.0,2112.0,2112.0,69.08952548890379,69.93656582503976,70.17460675379785,67.73882119761299,61.45847938985257,67.9661507366597,100.0,100.0,100.0,66.54771645900715,69.71014801176518
Arabica,nucoffee,Brazil,fazenda kaquend,,,002/1251/0073,nucoffee,1250m,south of minas,Ralph Junqueira,3,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,0.12,0,0.0,Green,2,"December 2nd, 2012",m,1250.0,1250.0,1250.0,74.73730614718684,72.54104834195455,67.0450261809832,64.06237560910118,65.92884500739828,64.68213542417124,100.0,100.0,100.0,60.97769115407209,69.49415651684852
Arabica,kabum trading company,Uganda,chebonet (23) women coffee,,kabum trading company,0,kabum trading company,1950,kapchorwa eastern,Kabum trading company,100,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kabum Trading company,SL14,Washed / Wet,0.12,0,0.0,Green,1,"June 26th, 2015",m,1950.0,1950.0,1950.0,72.54104834195455,67.8892596538815,70.17460675379785,67.73882119761299,61.45847938985257,62.80697364481954,100.0,100.0,100.0,66.54771645900715,69.287573427825
Arabica,bismarck castro,Honduras,los hicaques,102,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2016,"May 18th, 2017",Bismarck Castro,Caturra,,0.1,0,0.0,Green,3,"May 18th, 2018",m,1400.0,1400.0,1400.0,67.31179990686952,66.4885778857409,68.99346224504907,64.06237560910118,68.45350997602131,64.68213542417124,100.0,100.0,100.0,67.73882119761299,69.08952548890379
Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,Tsoustructive 2015 Sumatra Typica,tsoustructive garden 鄒築園,Taiwan,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50 kg,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Sumatra,Pulped natural / honey,0.0,0,0.0,Green,0,"May 18th, 2017",m,1200.0,1200.0,1200.0,63.7921431032108,64.46883241861788,67.0450261809832,68.899257719668,65.92884500739828,67.9661507366597,100.0,100.0,100.0,66.54771645900715,68.899257719668
Arabica,nucoffee,Brazil,fazenda recreio,,,002/1251/0068,nucoffee,1300,vale da grama,Homero Texeira de Macedo Junior,29,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,0.12,0,0.0,Green,2,"December 2nd, 2012",m,1300.0,1300.0,1300.0,74.73730614718684,67.8892596538815,67.0450261809832,57.536456087590935,65.92884500739828,64.68213542417124,100.0,100.0,100.0,63.108751296013764,68.71611281090517
Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,,"exclusive coffees s.a,",5818009,exclusive coffees s.a.,1300,west and central valley,Exclusive Coffees S.A.,250,2 lbs,Specialty Coffee Association of Costa Rica,2015/2016,"December 3rd, 2015",Francisco A Mena,Caturra,Washed / Wet,0.0,0,0.0,Blue-Green,0,"December 2nd, 2016",m,1300.0,1300.0,1300.0,67.31179990686952,59.88172945979051,67.0450261809832,66.25804828653614,61.45847938985257,64.68213542417124,100.0,100.0,100.0,68.99346224504907,68.5395148391396
Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,,faysal abamecha processing plant at yebu town,2014/15,haider abamecha coffee export,1750-1800,oromia,Haider Abamecha Abadiko,320,60 kg,METAD Agricultural Development plc,2014,"March 27th, 2015",Hider Abamecha,,Natural / Dry,0.1,0,0.0,Green,3,"March 26th, 2016",m,1750.0,1800.0,1775.0,63.7921431032108,66.4885778857409,65.32136346838936,64.06237560910118,68.45350997602131,66.43005638128265,100.0,100.0,100.0,65.03924947868458,68.04420786318425
Arabica,daniel magu,Kenya,kangunu,,central kenya coffee mills,0,c dorman ltd,1800,muranga,Kangunu,320,1 kg,Kenya Coffee Traders Association,2013,"May 30th, 2014",Daniel Magu,SL34,Washed / Wet,0.12,0,0.0,Blue-Green,1,"May 30th, 2015",m,1800.0,1800.0,1800.0,65.82315006881252,64.46883241861788,67.0450261809832,68.899257719668,63.83008247411338,62.80697364481954,100.0,100.0,100.0,65.03924947868458,68.04420786318425
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,HDOA 210128 Kona Fancy,,,kona,Kona Pacific Farmers Co-Op,25,100 lbs,Specialty Coffee Association,2010,"January 28th, 2011",Kona Pacific Farmers Cooperative,,,0.0,2,0.0,,1,"January 28th, 2012",ft,,,,69.08952548890379,70.97417940077986,68.99346224504907,57.536456087590935,55.91180052581991,60.42496563103818,100.0,100.0,100.0,67.73882119761299,68.04420786318425
Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",,,010/0170,,,yirgacheffe,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,0.1,0,0.0,,2,"June 17th, 2011",m,,,,61.62526177930171,57.33580623084404,68.99346224504907,66.25804828653614,68.45350997602131,67.9661507366597,100.0,100.0,100.0,66.54771645900715,68.04420786318425
Arabica,itdp international,Thailand,co-op #12,,,01-011-512,lanna cafe,1300,chiang rai,ITDP,53,1 kg,Specialty Coffee Association,2012,"April 12th, 2012",ITDP International,Caturra,Washed / Wet,0.1,1,0.0,Green,9,"April 12th, 2013",m,1300.0,1300.0,1300.0,59.45567645614405,69.93656582503976,63.35271559255911,68.899257719668,53.33947586072594,62.80697364481954,100.0,100.0,100.0,68.99346224504907,67.59260259505594
Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,cocarive,002/1352/0045,,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,0.08,0,0.0,,2,"January 4th, 2012",m,12.0,12.0,12.0,67.31179990686952,62.23857099314461,65.32136346838936,57.536456087590935,73.22913015363474,64.68213542417124,100.0,100.0,100.0,65.03924947868458,67.59260259505594
Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,cocarive,002/1352/0045,,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,,0.01,0,0.0,,3,"January 4th, 2012",m,12.0,12.0,12.0,72.54104834195455,62.23857099314461,67.0450261809832,57.536456087590935,63.83008247411338,64.68213542417124,100.0,100.0,100.0,66.54771645900715,67.59260259505594
Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN 林言謙,10,15 kg,Specialty Coffee Association,2015,"June 10th, 2015","Lin, Che-Hao Krude 林哲豪",Bourbon,Semi-washed / Semi-pulped,0.12,0,0.0,Green,0,"June 9th, 2016",m,1000.0,1000.0,1000.0,65.82315006881252,67.8892596538815,60.79794852084138,66.25804828653614,58.69548950759715,60.42496563103818,100.0,100.0,100.0,68.99346224504907,67.17676081632926
Arabica,jungle estate,Kenya,jungle estate,,nkg coffee mills,NIL,keremara limited,1754,nyeri,JUNGLE ESTATE,12,60 kg,Kenya Coffee Traders Association,2014,"January 29th, 2015",Jungle Estate,SL28,Natural / Dry,0.11,0,0.0,Bluish-Green,2,"January 29th, 2016",m,1754.0,1754.0,1754.0,65.82315006881252,66.4885778857409,67.0450261809832,64.06237560910118,61.45847938985257,66.43005638128265,100.0,100.0,100.0,63.108751296013764,67.17676081632926
Arabica,nucoffee,Brazil,fazenda kaquend,,,002/1251/0071,nucoffee,1250m,south of minas,Ralph Junqueira,7,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,0.11,0,0.0,Blue-Green,2,"December 2nd, 2012",m,1250.0,1250.0,1250.0,70.69152523516453,64.46883241861788,67.0450261809832,64.06237560910118,58.69548950759715,64.68213542417124,100.0,100.0,100.0,63.108751296013764,67.17676081632926
Arabica,great lakes coffee uganda,Uganda,kaasayi,,great lakes coffee,0,ucda,,eastern uganda,Kaasay Farmer Group,1,60 kg,Uganda Coffee Development Authority,2014,"October 1st, 2014",Great Lakes Coffee Uganda,,Semi-washed / Semi-pulped,0.0,0,0.0,,0,"October 1st, 2015",m,,,,65.82315006881252,66.4885778857409,63.35271559255911,61.969754794509214,68.45350997602131,62.80697364481954,100.0,100.0,100.0,65.03924947868458,66.60748753773103
Arabica,lusso lab,Colombia,ecobio colombia,,,NONE,lusso coffee lab,900-1500m,tolima,,1,2 kg,Specialty Coffee Association,2013,"March 20th, 2014",LUSSO LAB,Caturra,Washed / Wet,0.12,1,0.0,Green,1,"March 20th, 2015",m,900.0,1500.0,1200.0,56.73472461878255,62.23857099314461,63.35271559255911,66.25804828653614,68.45350997602131,67.9661507366597,100.0,100.0,100.0,66.54771645900715,66.60748753773103
Arabica,lusso lab,Kenya,kianjavi,,,NONE,lusso coffee lab,1520m-2200m,kiambu,,1,1 kg,Specialty Coffee Association,2013,"February 6th, 2014",LUSSO LAB,SL28,Washed / Wet,0.11,0,0.0,Green,1,"February 6th, 2015",m,1520.0,2200.0,1860.0,61.62526177930171,67.8892596538815,63.35271559255911,74.73730614718684,50.311177252127074,62.80697364481954,100.0,100.0,100.0,66.54771645900715,66.60748753773103
Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,0.01,0,0.0,,4,"June 17th, 2011",m,1500.0,2000.0,1750.0,56.73472461878255,66.4885778857409,67.0450261809832,68.899257719668,65.92884500739828,64.68213542417124,100.0,100.0,100.0,60.97769115407209,66.60748753773103
Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,,,,,1400ft,kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,"May 31st, 2010",Grounds for Health Admin,,,0.0,0,0.0,,0,"May 31st, 2011",ft,426.72,426.72,426.72,70.69152523516453,67.8892596538815,60.79794852084138,64.06237560910118,58.69548950759715,60.42496563103818,100.0,100.0,100.0,66.54771645900715,66.60748753773103
Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0252,beneficio ixchel,11/23/0252,"unex guatemala, s.a.",,nuevo oriente,MARGARITA AVILA DE NUYENS,80,69 kg,Asociacion Nacional Del Café,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,0.1,0,1.0,Green,3,"May 16th, 2017",m,,,,61.62526177930171,66.4885778857409,65.32136346838936,66.25804828653614,68.45350997602131,60.42496563103818,100.0,100.0,100.0,63.108751296013764,66.20185166614185
Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,,kawacom,0,kawacom uganda ltd,1400-1900,eastern,Kawacom (U)Ltd,1,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Natural / Dry,0.12,0,0.0,Green,0,"June 30th, 2015",m,1400.0,1900.0,1650.0,67.31179990686952,67.8892596538815,65.32136346838936,66.25804828653614,61.45847938985257,57.96702113838552,100.0,100.0,100.0,63.108751296013764,66.20185166614185
Arabica,gonzalo hernandez,Panama,la berlina estate,Baby Geisha Washed,beneficio casa ruiz s.a.,,ce specialty s.a.,1600,boquete,Plinio Ruiz,37,60 kg,Specialty Coffee Association of Costa Rica,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Washed / Wet,0.08,0,1.0,Bluish-Green,0,"October 9th, 2018",m,1600.0,1600.0,1600.0,63.7921431032108,64.46883241861788,65.32136346838936,66.25804828653614,61.45847938985257,64.68213542417124,100.0,100.0,100.0,63.108751296013764,65.9824221070146
Arabica,juan luis alvarado romero,Guatemala,valparaiso,,beneficio valparaiso,11/1886/03,sertrasa,5000,acatenango,SERTRASA,150,1 kg,Asociacion Nacional Del Café,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,0.12,0,0.0,Green,3,"July 3rd, 2013",ft,1524.0,1524.0,1524.0,59.45567645614405,64.46883241861788,67.0450261809832,67.73882119761299,61.45847938985257,64.68213542417124,100.0,100.0,100.0,63.108751296013764,65.9824221070146
Arabica,juan luis alvarado romero,Guatemala,finca el limon,,beneficio serben,11-853-155,unicafe,4650,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,Asociacion Nacional Del Café,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Washed / Wet,0.1,0,0.0,Bluish-Green,1,"June 5th, 2013",ft,1417.32,1417.32,1417.32,63.7921431032108,64.46883241861788,63.35271559255911,70.17460675379785,61.45847938985257,60.42496563103818,100.0,100.0,100.0,63.108751296013764,65.9824221070146
Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,320,seid damtew coffee export and plantation,490,seid damtew coffee planation,,addis ababa,seid damtew coffee export and plantation,320,19200 kg,METAD Agricultural Development plc,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Natural / Dry,0.09,0,4.0,None,7,"June 23rd, 2018",m,,,,59.45567645614405,64.46883241861788,63.35271559255911,67.73882119761299,63.83008247411338,64.68213542417124,100.0,100.0,100.0,63.108751296013764,65.66810379236787
Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,,baroida,25072012,cqi,1700 mts,eastern highlands province,"Colbran CoffeeLands, Ltd.",7,60 kg,Specialty Coffee Association,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",,Washed / Wet,0.12,0,0.0,Bluish-Green,1,"October 25th, 2013",m,1700.0,1700.0,1700.0,70.69152523516453,70.97417940077986,63.35271559255911,70.17460675379785,65.92884500739828,69.38974654884584,37.093842995122785,35.09708327118937,100.0,60.97769115407209,65.66810379236787
Arabica,atlantic specialty coffee,El Salvador,el majahual,,j. hill y cia,09 – 060-24,atlantic specialty coffee,1500 meters,apaneca,Aida Batlle,275,2 kg,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Washed / Wet,0.1,0,0.0,Blue-Green,3,"March 18th, 2014",m,1500.0,1500.0,1500.0,61.62526177930171,67.8892596538815,67.0450261809832,61.969754794509214,58.69548950759715,60.42496563103818,100.0,100.0,100.0,63.108751296013764,65.46750848470452
Arabica,lusso lab,El Salvador,finca la esmeralda,,"aqua caliente, j.j. borja nathan. s.a",,lusso coffee lab,1300~1400 m.s.l,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1 kg,Specialty Coffee Association,2012,"January 12th, 2013",LUSSO LAB,Bourbon,Semi-washed / Semi-pulped,0.11,0,0.0,None,0,"January 12th, 2014",m,1300.0,1400.0,1350.0,59.45567645614405,64.46883241861788,67.0450261809832,57.536456087590935,63.83008247411338,67.9661507366597,100.0,100.0,100.0,60.97769115407209,65.46750848470452
Arabica,essencecoffee,Panama,elida estate,,elida estate,290503,essence coffee,1680,boquete,Lamastus,100,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Natural / Dry,0.09,2,0.0,,2,"May 22nd, 2016",m,1680.0,1680.0,1680.0,63.7921431032108,57.33580623084404,63.35271559255911,59.90469214398085,55.91180052581991,75.56270040993134,100.0,100.0,100.0,58.94266813856932,65.17867367100395
Arabica,essencecoffee,Kenya,inoi,,inoi,3707361715,essence coffee,1900m,kirinyaga,,16,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,SL28,Natural / Dry,0.1,0,0.0,Green,3,"May 22nd, 2016",m,1900.0,1900.0,1900.0,61.62526177930171,62.23857099314461,63.35271559255911,66.25804828653614,61.45847938985257,62.80697364481954,100.0,100.0,100.0,63.108751296013764,65.17867367100395
Arabica,kyagalanyi ltd,Uganda,buginyanya,,kyagalanyi coffee ltd,0,kyagalanyi coffee ltd,1600,bulambuli eastern region,Kyagalanyi coffee Ltd,320,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kyagalanyi Ltd,SL14,Washed / Wet,0.12,0,0.0,Green,1,"June 26th, 2015",m,1600.0,1600.0,1600.0,70.69152523516453,62.23857099314461,58.47385198334097,61.969754794509214,55.91180052581991,62.80697364481954,100.0,100.0,100.0,65.03924947868458,65.17867367100395
Arabica,juan luis alvarado romero,Guatemala,asoperc,,beneficio exportacafe agua santa,11-52-492,exportcafe,5600-5760 metros,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69 kg,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,0.11,0,0.0,Green,1,"February 26th, 2014",ft,1706.88,1755.648,1731.264,63.7921431032108,59.88172945979051,58.47385198334097,70.17460675379785,61.45847938985257,64.68213542417124,100.0,100.0,100.0,58.94266813856932,65.17867367100395
Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,,great lakes coffee,0,great lakes coffee,1950,kapchorwa,Chesiyo Farmer group,150,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Great Lakes Coffee Uganda,SL14,Washed / Wet,0.12,0,0.0,Green,5,"June 26th, 2015",m,1950.0,1950.0,1950.0,65.82315006881252,64.46883241861788,63.35271559255911,54.72897410968047,65.92884500739828,60.42496563103818,100.0,100.0,100.0,63.108751296013764,64.94802765102511
Arabica,nucoffee,Brazil,fazenda serra de três barras,,,002/1251/0072,nucoffee,1250m,south of minas,José Vagner Ribeiro Junqueira,5,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,0.11,0,0.0,Blue-Green,1,"December 2nd, 2012",m,1250.0,1250.0,1250.0,63.7921431032108,64.46883241861788,67.0450261809832,54.72897410968047,58.69548950759715,64.68213542417124,100.0,100.0,100.0,63.108751296013764,64.94802765102511
